,word,frequency
123,commun,123
635,think,104
994,school,80
662,go,68
974,need,62
623,like,56
324,peopl,50
956,educ,50
782,youth,47
879,feel,40
945,say,39
847,differ,38
579,convers,37
610,also,37
6,way,36
880,realli,36
341,thing,35
429,learn,32
868,want,31
189,one,31
175,place,28
546,experi,28
841,would,27
730,voic,27
464,question,27
21,come,26
920,help,25
717,chang,25
288,connect,25
159,yeah,25
124,look,25
128,live,25
767,make,25
493,mani,24
352,ask,23
706,work,23
605,part,23
957,counti,23
915,support,23
882,lot,21
200,time,21
453,kind,20
595,share,20
739,someth,19
835,back,19
993,base,19
449,see,19
665,member,19
226,thank,19
33,opportun,18
390,mean,17
558,know,17
280,good,17
403,main,17
489,within,17
1020,washington,16
592,student,16
1038,kid,16
964,right,16
794,year,16
257,much,15
270,around,15
177,sens,14
753,next,14
520,skill,14
98,project,13
531,understand,13
339,creat,13
757,teacher,13
487,model,13
979,well,12
398,system,12
704,invit,12
1031,happen,12
622,collabor,12
228,free,12
728,even,12
421,adult,12
615,state,12
970,interest,12
837,access,12
90,start,12
454,mayb,11
860,import,11
368,hear,11
803,resourc,11
59,get,11
276,first,10
510,futur,10
756,okay,10
602,town,10
839,could,10
612,great,10
358,guess,10
229,world,10
85,thrive,10
914,use,10
25,bring,10
1035,whole,10
819,felt,10
443,said,10
56,sure,10
387,environ,9
392,order,9
999,talk,9
930,life,9
10,anoth,9
474,young,9
564,basic,9
13,us,9
978,love,9
140,littl,9
787,believ,9
220,strength,9
853,circl,9
180,children,9
625,rural,9
57,keep,9
584,person,9
604,abl,9
758,involv,8
975,everi,8
191,tri,8
800,led,8
401,whether,8
402,ye,8
337,matter,8
416,two,8
418,contribut,8
671,level,8
139,imagin,8
817,challeng,8
571,last,8
45,impact,8
852,heard,8
129,decad,8
523,alway,8
39,actual,8
781,safe,8
877,offer,8
500,hope,8
619,colleg,7
1037,answer,7
1001,name,7
587,may,7
731,awar,7
76,aspir,7
58,realiz,7
871,agre,7
411,big,7
673,everyon,7
896,particip,7
178,today,7
608,point,7
1008,degre,6
197,advoc,6
269,relev,6
308,alreadi,6
240,togeth,6
314,still,6
246,social,6
316,second,6
499,process,6
338,small,6
346,servic,6
811,someon,6
718,sinc,6
686,meet,6
684,self,6
652,capac,6
638,decis,6
185,open,6
831,certain,6
620,definit,6
617,role,6
616,listen,6
569,present,6
548,foundat,6
870,show,6
884,inform,6
901,mind,6
905,bit,6
913,protect,6
422,valu,6
633,pathway,6
0,perspect,6
64,wonder,6
132,relationship,6
22,move,6
149,seen,6
81,cultur,6
170,affect,5
854,sometim,5
514,loss,5
689,area,5
31,restor,5
692,uniqu,5
165,find,5
936,chat,5
566,vision,5
371,specif,5
536,home,5
981,build,5
825,includ,5
683,type,5
1009,neighbor,5
299,respond,5
990,coupl,5
929,choic,5
833,increas,5
754,direct,5
412,met,5
70,high,5
406,end,5
660,becom,5
537,might,5
259,10,5
68,local,5
92,put,5
224,group,5
7,hard,5
465,follow,5
5,step,5
350,jump,5
182,minut,5
349,profession,5
968,welcom,5
624,day,5
23,take,5
713,provid,5
712,fine,5
126,let,5
629,respect,5
54,other,5
735,thread,5
863,strong,5
1039,portland,5
217,often,5
114,issu,5
154,experienc,5
160,pretti,4
947,oh,4
798,readi,4
659,ed,4
922,speak,4
268,late,4
829,forward,4
388,number,4
655,grew,4
356,beauti,4
769,certainli,4
298,root,4
361,famili,4
828,three,4
362,exampl,4
561,quit,4
285,play,4
363,posit,4
777,least,4
366,willing,4
980,benefit,4
86,develop,4
335,continu,4
437,resili,4
195,gain,4
136,leav,4
80,give,4
702,pick,4
1016,rich,4
455,everybodi,4
202,grow,4
506,senior,4
430,side,4
78,learner,4
747,new,4
241,belong,4
734,reflect,4
845,engag,4
524,join,4
1005,neg,4
255,respons,4
119,wide,4
143,lead,4
131,individu,4
410,everyth,4
183,els,4
875,grade,3
41,especi,3
958,excus,3
818,theme,3
364,collect,3
483,transpar,3
482,power,3
954,elementari,3
38,avail,3
462,norm,3
475,board,3
354,safeti,3
460,mention,3
887,similar,3
495,absent,3
951,hand,3
808,lost,3
585,beal,3
535,moment,3
496,comfort,3
861,cours,3
106,tragedi,3
926,begin,3
928,watch,3
846,happi,3
832,vantag,3
419,piec,3
141,forum,3
830,four,3
382,explor,3
909,accept,3
907,broad,3
427,30,3
565,consolid,3
432,deepli,3
855,idea,3
567,email,3
938,cortico,3
373,vulner,3
568,activ,3
918,case,3
859,possibl,3
456,trauma,3
470,health,3
703,america,3
644,total,3
306,deplet,3
628,goe,3
1012,regardless,3
759,bandwidth,3
300,gener,3
235,citizen,3
294,substanc,3
66,embrac,3
681,balanc,3
640,folk,3
983,consequ,3
688,age,3
286,addit,3
701,far,3
267,whatev,3
231,multipl,3
986,introduc,3
772,mission,3
771,director,3
770,action,3
606,calai,3
167,sorri,3
274,younger,3
67,parent,3
992,went,3
697,view,3
271,ahead,3
232,island,3
741,organ,3
1013,close,3
626,non,3
788,privileg,3
215,internet,3
621,hour,3
2,tremend,3
247,teach,3
192,thought,3
963,articul,3
883,passion,3
678,enough,3
748,constant,3
719,train,3
9,public,3
237,network,3
755,introduct,3
969,earlier,3
319,incorpor,3
69,lifetim,3
318,evolv,3
733,curiou,3
101,record,3
971,classroom,3
204,bottom,3
205,hold,3
710,expect,3
973,adulthood,3
256,sentenc,3
709,effort,3
1025,divers,3
1023,across,3
230,tabl,3
521,master,2
1,five,2
522,backward,2
519,receiv,2
105,immigr,2
858,popul,2
505,style,2
724,anyway,2
723,separ,2
729,stay,2
720,industri,2
715,phone,2
476,nice,2
878,factor,2
40,made,2
711,data,2
867,celebr,2
866,term,2
498,rais,2
