,word,frequency
517,think,258
693,commun,230
1218,school,138
174,need,132
853,like,129
909,go,128
1096,educ,116
878,peopl,110
1171,realli,92
707,thing,82
604,way,79
440,feel,75
522,want,68
682,also,68
812,say,67
868,differ,67
214,learn,65
900,lot,64
399,come,64
1256,convers,64
837,connect,60
871,question,59
1439,place,56
1064,youth,55
889,one,55
728,experi,53
998,would,51
1410,right,51
897,children,50
779,good,50
764,live,50
686,skill,49
127,member,48
1308,kid,48
1185,yeah,47
560,make,47
288,time,47
554,get,46
524,know,46
957,chang,45
1386,support,45
1369,someth,42
8,part,42
566,look,41
136,opportun,41
1028,work,41
231,help,40
97,back,39
1255,thank,38
636,counti,38
1212,mani,38
855,system,37
52,main,36
254,mayb,35
783,kind,34
851,share,34
18,adult,33
1151,relationship,33
1206,talk,33
1186,abl,32
1114,bring,32
599,ask,32
36,next,32
738,voic,31
393,see,30
966,could,30
70,year,29
772,around,28
1247,mean,27
552,littl,27
323,base,26
251,use,26
314,famili,25
1016,understand,25
771,import,25
687,much,25
1415,move,25
605,first,24
77,model,24
893,sure,24
1381,said,24
748,great,24
175,child,24
1035,free,24
727,town,24
1370,okay,23
533,person,23
1446,teacher,23
1109,love,23
115,well,23
32,washington,23
130,tri,23
368,even,23
847,may,22
924,happen,22
237,within,22
1455,thrive,22
55,program,22
596,mind,21
152,start,21
615,hope,21
277,engag,21
157,interest,20
241,area,20
467,guess,20
731,whether,20
1160,agre,20
486,play,20
749,big,20
16,life,20
1023,creat,20
369,els,19
1184,young,17
413,build,17
648,sens,17
1481,actual,17
875,world,16
617,student,16
968,collabor,16
66,technolog,16
496,state,16
1092,basic,16
1287,meet,16
1168,order,16
1033,capac,16
960,decad,15
1132,role,15
977,keep,15
1322,answer,15
1354,two,15
410,take,15
880,environ,15
895,hear,15
1091,futur,15
392,ye,14
529,project,14
763,parent,14
62,us,14
421,matter,14
1039,term,14
852,access,14
500,togeth,14
774,run,14
118,give,14
820,especi,14
1148,invit,13
345,imagin,13
894,bit,13
747,oh,13
1120,find,13
1416,colleg,13
874,anoth,13
160,believ,13
1233,last,13
1317,wonder,13
1084,alway,13
1175,cultur,13
1449,rural,13
621,whole,13
1454,offer,13
1240,might,13
1383,let,13
1366,becom,13
762,high,12
1379,pictur,12
1047,resourc,12
626,develop,12
1229,someon,12
353,local,12
883,perspect,12
530,everi,12
166,posit,12
1197,name,12
446,somebodi,12
539,valu,12
570,today,12
1166,five,12
1080,inform,12
1289,circl,12
781,pretti,11
844,word,11
624,best,11
193,definit,11
240,involv,11
1459,sorri,11
213,challeng,11
981,coupl,11
1372,outsid,11
1440,listen,11
1207,critic,10
685,sinc,10
555,came,10
680,still,10
817,respect,10
113,felt,10
1432,everyon,10
499,second,10
1279,group,10
1251,space,10
1085,care,10
791,thought,10
663,home,10
1165,fine,10
1430,abil,10
138,enrich,10
1102,particip,10
1456,put,10
378,small,10
969,safe,10
606,organ,10
593,aspir,10
332,everyth,9
311,earli,9
662,readi,9
848,strength,9
642,beauti,9
934,interact,9
665,sometim,9
1138,exist,9
1111,grow,9
1348,add,9
864,folk,9
946,provid,9
380,public,9
22,along,9
12,heard,9
1031,type,9
1162,welcom,9
176,end,9
75,social,9
1246,servic,9
210,open,9
1074,alreadi,9
173,adulthood,9
1265,met,9
1465,gener,9
1164,point,9
600,level,9
592,pick,9
287,resili,8
1458,decis,8
1419,passion,8
1103,other,8
259,healthi,8
717,protect,8
1408,seen,8
161,respond,8
39,teach,8
936,12,8
108,everybodi,8
64,foundat,8
1149,led,8
194,experienc,8
1025,follow,8
403,jump,8
1081,impact,8
1122,lubec,8
243,leav,8
1227,thread,8
1179,contribut,8
234,often,8
125,hard,8
1069,speak,8
821,process,8
491,piec,8
638,begin,8
736,least,8
73,k,8
695,day,8
1005,excus,7
116,show,7
561,health,7
1451,chat,7
1018,network,7
121,though,7
845,drive,7
584,step,7
101,agenc,7
708,addit,7
133,sort,7
417,across,7
586,govern,7
143,idea,7
224,self,7
1444,probabl,7
348,sit,7
376,direct,7
3,certain,7
1188,avail,7
508,present,7
371,invest,7
1228,neighbor,7
1214,root,7
1394,record,7
690,realiz,7
246,awar,7
520,new,7
250,age,7
1235,bodi,7
1129,10,7
1037,specif,7
268,reason,7
1121,physic,7
276,away,7
110,broader,7
1311,forc,6
859,relev,6
775,pathway,6
1036,concern,6
903,relat,6
899,younger,6
1315,profession,6
1341,explor,6
344,aspect,6
1461,rather,6
352,far,6
355,grew,6
38,neg,6
1174,summer,6
1475,got,6
1333,loss,6
25,uniqu,6
857,forum,6
1004,worri,6
172,evolv,6
1388,collect,6
519,activ,6
547,continu,6
151,never,6
218,mission,6
232,certainli,6
1156,gain,6
937,cours,6
229,action,6
1376,figur,6
1283,real,6
264,earlier,6
983,enjoy,6
802,cortico,6
197,childcar,6
1423,respons,6
1216,whatev,6
131,describ,6
459,three,6
1305,includ,6
572,degre,6
1445,municip,6
568,issu,6
694,quit,6
1424,huge,6
696,trauma,6
952,tabl,6
1000,advoc,6
461,profess,6
145,gift,6
1144,spirit,6
512,biggest,5
814,email,5
390,ago,5
803,nice,5
518,exampl,5
760,liter,5
776,old,5
822,made,5
1280,minut,5
1281,moment,5
574,similar,5
537,factor,5
471,less,5
543,number,5
595,mental,5
789,affect,5
591,outdoor,5
1239,portland,5
786,vision,5
452,true,5
1170,introduc,5
1264,view,5
1053,forward,5
990,purpos,5
961,total,5
1046,broad,5
1340,anyon,5
1471,30,5
1027,fulli,5
340,choic,5
273,road,5
270,intervent,5
107,waldorf,5
1060,benefit,5
28,energi,5
1059,ahead,5
242,lead,5
1067,gap,5
1347,allow,5
86,increas,5
310,strong,5
209,opinion,5
195,goe,5
120,went,5
1183,theme,5
156,read,5
132,hold,5
1433,stay,5
1357,stori,5
169,grade,5
47,pass,5
1118,hour,5
59,middl,5
1398,restor,5
53,rais,5
1150,multipl,4
1364,belong,4
777,late,4
666,focus,4
462,poverti,4
1065,math,4
1375,leadership,4
1108,phone,4
583,tree,4
1286,equal,4
463,week,4
279,older,4
262,land,4
588,citi,4
1205,side,4
239,embrac,4
1244,wide,4
658,join,4
1257,larger,4
164,phrase,4
790,natur,4
181,close,4
746,eat,4
699,possibl,4
1429,exposur,4
971,beyond,4
962,gone,4
1072,mention,4
804,essenti,4
558,absolut,4
559,compass,4
576,immedi,4
509,enough,4
1009,spoken,4
507,travel,4
564,pandem,4
1390,past,4
226,call,4
104,willing,4
1019,senior,4
661,expect,4
594,rich,4
1068,anyway,4
490,watch,4
1193,20,4
1194,friend,4
298,line,4
757,2050,4
1318,piggyback,4
861,learner,4
1313,anyth,4
370,broadli,4
26,machia,4
422,almost,4
1208,celebr,4
1330,sound,4
1224,spoke,4
416,individu,4
610,manag,4
866,better,4
361,homework,4
898,articul,4
622,entir,4
1049,overal,4
9,substanc,4
627,curiou,4
1191,ideal,4
677,resid,4
670,recent,4
1350,vantag,4
384,complet,4
669,whenev,4
1329,childhood,4
44,done,4
720,director,4
1061,reflect,4
881,calai,4
321,graduat,4
375,dynam,4
1473,turn,4
434,ed,4
675,covid,4
444,four,4
753,foster,3
556,lost,3
1082,consid,3
992,amaz,3
630,norm,3
1486,later,3
1078,comfort,3
646,accept,3
645,necessarili,3
4,topic,3
702,occur,3
1254,introduct,3
1052,consolid,3
149,seem,3
644,privileg,3
134,pursu,3
1483,consequ,3
1012,internet,3
724,data,3
85,set,3
50,soul,3
60,landscap,3
1464,tragedi,3
41,lift,3
589,island,3
37,effort,3
68,initi,3
69,nurtur,3
1453,stop,3
1472,box,3
1172,case,3
582,goal,3
30,citizen,3
613,regard,3
1044,pull,3
1245,given,3
575,major,3
1476,fail,3
1478,expos,3
618,lifetim,3
1015,miss,3
1441,knowledg,3
1058,regardless,3
1463,deplet,3
620,versu,3
19,transpar,3
111,realiti,3
112,elementari,3
379,happi,3
216,noth,3
1417,fight,3
441,job,3
1127,usual,3
1140,constant,3
1126,ever,3
324,avenu,3
856,husband,3
435,discuss,3
1352,train,3
734,chose,3
1356,tell,3
309,quick,3
420,absent,3
668,pleas,3
849,beal,3
306,context,3
1298,cook,3
1297,behavior,3
1360,awesom,3
1141,taught,3
454,afraid,3
297,shape,3
671,incorpor,3
418,money,3
165,popul,3
1337,board,3
