,word,frequency
340,think,70
824,educ,63
348,want,62
388,need,57
398,go,52
574,student,52
122,realli,45
9,see,43
292,convers,42
280,like,36
432,get,34
287,thank,32
129,main,32
460,learn,32
337,peopl,32
151,us,31
495,help,30
352,know,30
350,one,29
412,kid,29
199,school,29
785,thing,28
14,come,27
359,sure,27
612,support,26
320,question,25
442,make,25
762,teacher,25
185,say,23
144,yeah,23
274,share,22
711,also,22
631,would,22
374,lot,21
313,differ,21
746,commun,20
690,work,20
100,feel,20
613,time,18
169,year,18
654,right,18
470,look,18
813,futur,17
726,much,16
356,group,16
427,littl,16
145,abl,16
535,ask,16
669,understand,15
606,let,15
546,way,15
87,teach,15
258,well,15
17,part,15
567,someth,14
191,mani,14
597,said,14
80,next,14
366,bit,13
380,project,13
791,put,13
856,actual,13
336,start,13
135,program,13
66,import,12
94,career,12
540,use,12
1,bring,11
781,chat,11
653,join,11
306,leader,10
29,high,10
836,particip,10
369,hear,10
713,everyon,10
181,talk,10
665,move,10
736,industri,10
684,famili,10
305,opportun,10
496,anyon,9
819,gener,9
81,good,9
569,okay,9
47,individu,9
391,person,9
382,grade,9
547,mayb,9
263,give,8
764,youth,8
522,chang,8
35,take,8
319,idea,8
512,add,8
548,first,8
346,interest,8
261,show,8
298,relev,8
281,state,8
285,tri,8
291,togeth,7
752,day,7
327,world,7
467,pandem,7
42,build,7
875,great,7
222,connect,7
794,background,7
773,mention,7
449,answer,7
5,find,7
231,back,7
715,specif,7
685,creat,7
386,everi,7
672,colleg,7
831,experi,7
406,long,7
93,point,7
483,call,7
430,session,7
708,free,7
592,develop,6
650,seen,6
155,cortico,6
338,environ,6
24,jump,6
31,parent,6
34,video,6
586,coupl,6
377,circl,6
48,across,6
568,hope,6
717,term,6
724,skill,6
743,forward,6
830,even,6
848,got,6
240,might,6
97,kind,6
289,system,6
232,last,6
444,happen,6
278,member,5
700,huge,5
357,minut,5
290,forum,5
488,loss,5
271,screen,5
730,cte,5
793,impact,5
666,legisl,5
771,speak,5
