,word,frequency
1190,farm,230
725,think,228
1265,go,217
1182,like,211
1601,realli,163
1218,peopl,162
776,get,161
1428,work,141
977,thing,122
1124,say,116
1667,farmer,107
732,want,105
228,need,99
734,know,96
1250,lot,94
76,main,89
101,year,88
838,way,84
1862,someth,83
510,see,82
1514,educ,80
367,time,80
150,well,80
515,come,79
1920,right,79
1705,convers,76
794,look,76
1081,kind,74
1343,could,73
1387,would,70
172,sort,70
1645,school,67
1233,one,66
936,also,64
1690,mean,64
194,start,63
429,industri,63
1325,chang,61
784,make,58
270,learn,56
1262,food,53
324,mayb,53
1780,kid,52
994,experi,51
1208,question,50
1635,talk,49
1614,yeah,49
535,take,47
1876,said,47
959,day,47
476,even,46
1205,differ,44
2025,got,43
772,littl,42
167,tri,42
2032,actual,42
939,skill,42
133,back,41
1061,around,41
573,feel,41
839,first,40
2013,gener,40
1530,grow,40
286,help,40
1075,good,39
85,us,39
956,commun,39
1285,happen,38
1676,might,38
2029,1,37
729,new,36
1045,live,35
879,counti,35
2035,speaker,35
52,next,34
12,part,34
760,valu,33
1996,put,33
1060,import,33
684,state,33
1704,thank,32
834,ask,31
804,degre,31
1019,great,30
853,hope,30
80,program,30
1613,abl,30
337,land,30
1589,point,28
1241,sure,28
399,famili,28
730,market,28
941,much,28
498,agricultur,28
751,person,28
1244,bit,27
321,use,27
577,job,27
394,aquacultur,27
1211,world,27
1642,mani,27
1185,system,27
1193,product,26
163,hard,26
865,develop,26
422,everyth,26
454,local,26
1018,oh,25
1844,two,25
1507,futur,25
1666,someon,25
1360,keep,25
1408,understand,24
202,interest,24
154,give,24
747,everi,24
1001,classroom,23
860,whole,23
1542,find,23
509,ye,23
406,dairi,23
1668,last,22
933,still,22
66,done,22
1308,busi,22
1141,produc,22
800,today,22
1502,alway,22
1021,big,21
778,came,21
1969,knowledg,21
1422,creat,21
230,end,21
1863,okay,21
1884,hand,21
1260,languag,20
1966,place,20
691,togeth,20
1483,mention,20
856,student,20
193,never,19
1931,move,19
1933,colleg,19
711,enough,19
1587,agre,19
1179,share,18
1263,garden,18
1092,thought,18
1005,voic,18
481,els,18
997,whether,17
1881,let,17
1479,speak,17
1968,listen,17
1526,love,17
1210,anoth,17
590,somebodi,17
536,feed,16
915,expect,16
279,call,16
1064,run,16
620,week,16
1637,critic,16
1392,appreci,16
762,long,16
1041,high,16
1079,pretti,16
1132,especi,16
1956,everyon,16
496,small,16
155,observ,15
303,legaci,15
609,problem,15
1738,group,15
413,base,15
1435,capac,15
255,equip,15
31,life,14
250,goe,14
1133,process,14
1790,tractor,14
681,oper,14
1786,anyth,14
1916,seen,14
187,field,14
580,four,14
1981,teacher,14
1302,cours,14
1535,bring,14
1556,10,14
144,everybodi,14
610,three,14
1797,answer,14
160,went,14
391,york,14
1979,probabl,14
53,disposit,14
1792,wonder,13
1539,hour,13
266,challeng,13
305,involv,13
1856,becom,13
1225,perspect,13
627,guess,13
218,posit,13
1995,thrive,13
1697,space,13
