,word,frequency
509,think,282
924,go,191
719,thing,158
862,like,136
884,peopl,128
1244,school,126
703,commun,122
1201,realli,109
819,say,105
513,want,100
609,way,99
788,kind,98
1016,would,91
559,get,87
895,one,87
1332,kid,85
184,need,82
619,student,81
1045,work,81
206,learn,79
875,differ,73
1434,right,70
516,know,67
1123,educ,65
7,part,64
382,see,63
225,help,60
1282,convers,58
564,make,54
859,share,53
749,great,53
125,well,51
734,experi,51
785,good,49
1234,talk,48
1281,thank,47
1393,someth,46
83,year,46
876,question,46
281,time,46
910,lot,46
1213,yeah,44
777,import,44
429,feel,44
879,world,43
66,main,43
696,much,43
46,next,43
979,could,43
385,come,42
1406,said,41
900,sure,41
570,look,40
1300,group,40
939,happen,40
969,chang,39
493,togeth,36
798,thought,36
695,skill,35
1489,teacher,35
1501,put,34
157,start,33
237,involv,32
541,valu,31
139,sort,31
778,around,30
71,us,30
252,mayb,29
557,littl,29
1241,mani,29
148,idea,29
903,bit,27
406,take,27
110,back,27
1475,place,27
251,use,27
1212,abl,27
135,tri,26
617,hope,26
1261,might,26
411,build,25
1228,watervil,25
431,job,25
1524,got,25
1083,youth,25
840,connect,25
23,life,24
1271,mean,24
530,person,24
1058,specif,24
692,also,24
871,folk,24
529,everi,24
573,today,23
743,voic,23
769,live,23
127,give,22
1243,whatev,22
360,even,21
863,system,21
1394,okay,21
538,rem,21
706,day,20
605,ask,20
610,first,20
982,collabor,19
526,project,19
624,whole,19
304,famili,19
1381,stori,18
889,perspect,18
487,piec,18
1211,young,18
119,everybodi,18
1344,answer,17
873,better,17
1304,real,17
631,develop,17
1114,futur,17
1337,anyth,17
1495,chat,17
426,discuss,17
1479,listen,17
1528,actual,17
1409,let,17
690,still,17
441,somebodi,17
1159,10,17
764,parent,17
748,oh,17
1034,understand,17
1377,two,16
1042,creat,16
142,opportun,16
453,problem,16
1449,passion,16
96,set,16
1196,order,16
1441,divers,16
1186,agre,16
175,posit,16
1149,find,15
642,counti,15
1514,gener,15
186,end,15
1144,bring,15
52,teach,15
1467,everyon,15
482,play,15
163,interest,15
1308,meet,15
134,member,15
272,engag,15
1059,term,14
787,pretti,14
1388,becom,14
1500,thrive,14
697,colbi,14
1137,love,14
1132,other,14
1130,particip,14
465,guess,14
828,process,14
991,keep,14
855,strength,14
972,decad,14
413,individu,13
571,issu,13
512,new,13
1051,capac,13
611,organ,13
733,town,13
326,everyth,13
1444,colleg,13
1108,alway,13
156,never,13
586,goal,12
380,ago,12
1310,circl,12
1413,support,12
1414,art,12
490,state,12
1023,comment,12
68,program,12
1486,probabl,12
1054,free,12
335,success,12
337,imagin,12
1341,wonder,12
1452,respons,11
1453,huge,11
1465,abil,11
36,along,11
240,leav,11
