,word,frequency
564,go,203
471,think,174
799,student,171
395,like,148
286,school,118
1037,teacher,111
1116,educ,98
645,learn,95
485,want,91
549,need,80
862,would,73
488,one,72
1065,thing,68
1135,classroom,67
184,realli,67
411,convers,66
491,know,63
444,question,62
217,abl,62
615,get,61
630,make,60
142,teach,52
107,import,49
845,time,49
161,feel,48
1123,experi,46
68,life,45
16,see,44
785,someth,44
101,class,44
987,skill,44
270,say,43
946,work,42
754,way,41
200,main,38
33,part,38
23,come,38
528,lot,36
374,give,36
438,differ,36
268,talk,35
132,good,35
975,also,34
370,well,34
609,littl,34
403,thank,33
587,kid,32
80,build,32
918,understand,31
891,right,31
766,could,31
464,peopl,31
717,chang,30
756,first,30
747,use,29
827,said,29
407,system,28
335,back,28
1102,futur,28
70,take,28
1124,even,28
989,much,27
1081,alway,27
846,support,25
1158,actual,24
57,high,24
787,okay,24
1074,put,24
325,connect,23
1028,day,23
742,ask,23
221,us,23
502,sure,22
140,agre,22
540,everi,22
973,still,21
1067,onlin,21
1042,math,21
593,definit,21
287,especi,20
1174,great,20
688,help,20
368,mean,20
131,next,19
1021,commun,19
552,person,19
455,world,19
78,live,19
1011,listen,19
658,look,19
5,bring,19
508,bit,19
424,opportun,18
246,year,18
330,someon,18
711,add,18
1087,care,18
261,special,18
740,two,18
388,share,17
108,around,17
181,thought,17
977,everyon,17
462,start,17
1164,speaker,17
792,outsid,17
1140,voic,17
1154,1,17
537,grade,17
895,stuff,16
264,succeed,16
316,emot,16
610,anyth,16
670,today,15
458,biggest,15
1055,chat,15
967,base,15
347,might,15
292,made,15
371,show,15
496,group,15
1107,gener,15
935,incorpor,14
1170,complet,14
813,best,14
915,move,14
479,new,14
772,becom,14
525,younger,14
755,mayb,14
219,yeah,14
729,leav,13
477,read,13
238,name,13
233,technolog,13
156,kind,13
504,real,13
802,keep,13
568,valu,13
535,project,13
1069,thrive,12
844,counti,12
1093,situat,12
396,state,12
519,children,12
391,hard,12
527,posit,12
148,ed,12
821,develop,12
940,follow,12
229,lesson,11
231,friend,11
434,better,11
733,mind,11
704,within,11
686,major,11
922,home,11
271,email,11
680,action,11
652,pandem,11
936,famili,11
638,answer,11
349,rememb,11
544,evolv,11
994,everyth,11
1175,big,11
48,silenc,11
1173,oh,11
267,social,10
356,everybodi,10
1144,love,10
578,includ,10
515,hear,10
474,exampl,10
1013,realiz,10
239,three,10
683,provid,10
115,relationship,10
720,involv,10
1105,basic,10
163,job,10
400,tri,10
121,citizen,10
867,focu,10
1125,whether,10
1111,appli,10
295,set,10
803,instead,10
531,meet,9
980,stay,9
958,huge,9
592,continu,9
671,call,9
600,goe,9
995,period,9
969,capac,9
937,creat,9
651,12,9
660,cours,9
1043,possibl,9
1132,els,9
1127,particip,9
366,felt,9
1026,success,9
1109,lvn,9
409,forum,9
699,goal,9
1146,got,9
337,last,9
